name,from_team,team,player_id,note,transaction_id,year
Hiram Martinez,Oakland Athletics,Miami Marlins,596848,Oakland Athletics traded SS Hiram Martinez to Miami Marlins for cash.,177784,2014
Logan Forsythe,San Diego Padres,Tampa Bay Rays,523253,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Matt Andriese,San Diego Padres,Tampa Bay Rays,542882,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Brad Boxberger,San Diego Padres,Tampa Bay Rays,502202,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Alex Torres,Tampa Bay Rays,San Diego Padres,456776,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Jesse Hahn,Tampa Bay Rays,San Diego Padres,534910,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Matt Lollis,San Diego Padres,Tampa Bay Rays,571896,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
Maxx Tissenbaum,San Diego Padres,Tampa Bay Rays,573209,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn.",178232,2014
David Huff,New York Yankees,San Francisco Giants,453307,New York Yankees traded LHP David Huff to San Francisco Giants for cash.,178317,2014
Carlos Peguero,Seattle Mariners,Kansas City Royals,451713,Seattle Mariners traded RF Carlos Peguero to Kansas City Royals for Player To Be Named Later.,178436,2014
Nathan Karns,Washington Nationals,Tampa Bay Rays,501992,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns.",178809,2014
Felipe Rivero,Tampa Bay Rays,Washington Nationals,553878,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns.",178809,2014
Jose Lobaton,Tampa Bay Rays,Washington Nationals,446653,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns.",178809,2014
Drew Vettleson,Tampa Bay Rays,Washington Nationals,592828,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns.",178809,2014
Jake Elmore,Chicago White Sox,Oakland Athletics,518653,Chicago White Sox traded SS Jake Elmore to Oakland Athletics for cash.,179492,2014
Justin Sellers,Los Angeles Dodgers,Cleveland Indians,451088,Los Angeles Dodgers traded SS Justin Sellers to Cleveland Indians for cash.,179746,2014
Zach Stewart,Chicago White Sox,Atlanta Braves,543819,Chicago White Sox traded RHP Zach Stewart to Atlanta Braves for cash.,180554,2014
Brandon Laird,Kansas City Royals,Washington Nationals,477186,Kansas City Royals traded 3B Brandon Laird to Washington Nationals for Player To Be Named Later.,181128,2014
Koyie Hill,Washington Nationals,Philadelphia Phillies,425542,Washington Nationals traded C Koyie Hill to Philadelphia Phillies for Player To Be Named Later.,181624,2014
