A,B,data.count
New York Yankees,Atlanta Braves,3
Oakland Athletics,Chicago Cubs,3
Houston Astros,Florida Marlins,3
Chicago White Sox,San Diego Padres,3
Arizona Diamondbacks,Chicago Cubs,2
St. Louis Cardinals,Cleveland Indians,2
New York Yankees,Detroit Tigers,2
Arizona Diamondbacks,Detroit Tigers,2
Texas Rangers,Kansas City Royals,2
Chicago White Sox,Kansas City Royals,2
Chicago White Sox,Los Angeles Dodgers,2
Atlanta Braves,New York Yankees,2
Chicago Cubs,Oakland Athletics,2
Cleveland Indians,Philadelphia Phillies,2
Washington Nationals,Pittsburgh Pirates,2
Seattle Mariners,Pittsburgh Pirates,2
Oakland Athletics,San Diego Padres,2
Pittsburgh Pirates,San Francisco Giants,2
Pittsburgh Pirates,Seattle Mariners,2
Cleveland Indians,Tampa Bay Rays,2
Baltimore Orioles,Texas Rangers,2
Cincinnati Reds,Toronto Blue Jays,2
Pittsburgh Pirates,Washington Nationals,2
Chicago White Sox,Arizona Diamondbacks,1
Los Angeles Dodgers,Arizona Diamondbacks,1
Chicago Cubs,Arizona Diamondbacks,1
New York Yankees,Arizona Diamondbacks,1
Detroit Tigers,Arizona Diamondbacks,1
St. Louis Cardinals,Atlanta Braves,1
Pittsburgh Pirates,Atlanta Braves,1
New York Mets,Atlanta Braves,1
Boston Red Sox,Atlanta Braves,1
Tampa Bay Rays,Atlanta Braves,1
San Diego Padres,Baltimore Orioles,1
Minnesota Twins,Baltimore Orioles,1
Texas Rangers,Baltimore Orioles,1
St. Louis Cardinals,Boston Red Sox,1
Pittsburgh Pirates,Boston Red Sox,1
Chicago White Sox,Boston Red Sox,1
Atlanta Braves,Boston Red Sox,1
Cleveland Indians,Boston Red Sox,1
Cincinnati Reds,Boston Red Sox,1
New York Mets,Boston Red Sox,1
Kansas City Royals,Boston Red Sox,1
Minnesota Twins,Boston Red Sox,1
Baltimore Orioles,Chicago Cubs,1
Colorado Rockies,Chicago Cubs,1
Seattle Mariners,Chicago Cubs,1
New York Mets,Chicago White Sox,1
Arizona Diamondbacks,Chicago White Sox,1
Boston Red Sox,Chicago White Sox,1
San Diego Padres,Chicago White Sox,1
Kansas City Royals,Chicago White Sox,1
Los Angeles Dodgers,Chicago White Sox,1
Houston Astros,Cincinnati Reds,1
Seattle Mariners,Cincinnati Reds,1
Toronto Blue Jays,Cincinnati Reds,1
New York Yankees,Cleveland Indians,1
Boston Red Sox,Cleveland Indians,1
Minnesota Twins,Cleveland Indians,1
Tampa Bay Rays,Cleveland Indians,1
Cleveland Indians,Colorado Rockies,1
Washington Nationals,Colorado Rockies,1
Chicago White Sox,Colorado Rockies,1
Seattle Mariners,Detroit Tigers,1
Baltimore Orioles,Detroit Tigers,1
Washington Nationals,Florida Marlins,1
Texas Rangers,Houston Astros,1
Florida Marlins,Houston Astros,1
Chicago Cubs,Kansas City Royals,1
Seattle Mariners,Kansas City Royals,1
Detroit Tigers,Kansas City Royals,1
Tampa Bay Rays,Los Angeles Angels,1
Baltimore Orioles,Los Angeles Dodgers,1
Arizona Diamondbacks,Los Angeles Dodgers,1
Washington Nationals,Los Angeles Dodgers,1
Tampa Bay Rays,Los Angeles Dodgers,1
New York Mets,Los Angeles Dodgers,1
San Diego Padres,Milwaukee Brewers,1
Arizona Diamondbacks,Milwaukee Brewers,1
Los Angeles Dodgers,Milwaukee Brewers,1
Cincinnati Reds,Milwaukee Brewers,1
Minnesota Twins,Milwaukee Brewers,1
Oakland Athletics,Minnesota Twins,1
Cleveland Indians,Minnesota Twins,1
Arizona Diamondbacks,Minnesota Twins,1
Milwaukee Brewers,Minnesota Twins,1
Boston Red Sox,Minnesota Twins,1
Chicago White Sox,New York Mets,1
Atlanta Braves,New York Mets,1
Washington Nationals,New York Mets,1
Boston Red Sox,New York Mets,1
Pittsburgh Pirates,New York Yankees,1
Cincinnati Reds,New York Yankees,1
San Diego Padres,New York Yankees,1
Detroit Tigers,New York Yankees,1
Washington Nationals,New York Yankees,1
San Diego Padres,Oakland Athletics,1
St. Louis Cardinals,Oakland Athletics,1
Portland Beavers,Oakland Athletics,1
Toronto Blue Jays,Philadelphia Phillies,1
Seattle Mariners,Philadelphia Phillies,1
Los Angeles Dodgers,Pittsburgh Pirates,1
New York Yankees,Pittsburgh Pirates,1
Atlanta Braves,Pittsburgh Pirates,1
Boston Red Sox,Pittsburgh Pirates,1
Chicago Cubs,Pittsburgh Pirates,1
Tampa Bay Rays,Pittsburgh Pirates,1
Tacoma Rainiers,San Diego Padres,1
Nashville Sounds,San Diego Padres,1
Baltimore Orioles,San Diego Padres,1
Detroit Tigers,San Diego Padres,1
Cleveland Indians,San Francisco Giants,1
Lake Elsinore Storm,Seattle Mariners,1
Oakland Athletics,Seattle Mariners,1
Cincinnati Reds,Seattle Mariners,1
Detroit Tigers,Seattle Mariners,1
Milwaukee Brewers,Seattle Mariners,1
Philadelphia Phillies,Seattle Mariners,1
Chicago Cubs,Seattle Mariners,1
Toronto Blue Jays,Seattle Mariners,1
Atlanta Braves,St. Louis Cardinals,1
Cleveland Indians,St. Louis Cardinals,1
Boston Red Sox,St. Louis Cardinals,1
Oakland Athletics,St. Louis Cardinals,1
Baltimore Orioles,Tampa Bay Rays,1
Los Angeles Angels,Tampa Bay Rays,1
Pittsburgh Pirates,Tampa Bay Rays,1
Atlanta Braves,Tampa Bay Rays,1
Colorado Rockies,Texas Rangers,1
Houston Astros,Texas Rangers,1
Kansas City Royals,Texas Rangers,1
Detroit Tigers,Texas Rangers,1
Seattle Mariners,Toronto Blue Jays,1
Florida Marlins,Washington Nationals,1
Colorado Rockies,Washington Nationals,1
Great Lakes Loons,Washington Nationals,1
Seattle Mariners,Washington Nationals,1
New York Yankees,Washington Nationals,1
