From,To,count
Chicago White Sox,Toronto Blue Jays,1
Oakland Athletics,Baltimore Orioles,1
Baltimore Orioles,Texas Rangers,1
Miami Marlins,Chicago Cubs,1
Chicago Cubs,Miami Marlins,1
Texas Rangers,Colorado Rockies,1
Colorado Rockies,Texas Rangers,1
Chicago Cubs,San Diego Padres,2
San Diego Padres,Chicago Cubs,2
Oakland Athletics,Colorado Rockies,2
Colorado Rockies,Oakland Athletics,1
Cleveland Indians,Colorado Rockies,1
Colorado Rockies,Cleveland Indians,2
Boston Red Sox,Colorado Rockies,1
Colorado Rockies,Boston Red Sox,1
Seattle Mariners,New York Yankees,3
New York Yankees,Seattle Mariners,3
Philadelphia Phillies,Cincinnati Reds,1
Cincinnati Reds,Philadelphia Phillies,1
Tampa Bay Rays,Cleveland Indians,1
Colorado Rockies,Baltimore Orioles,2
Baltimore Orioles,Colorado Rockies,1
Pittsburgh Pirates,New York Yankees,3
New York Yankees,Pittsburgh Pirates,2
Cleveland Indians,Texas Rangers,2
Chicago Cubs,Boston Red Sox,2
Texas Rangers,Cleveland Indians,1
Houston Astros,Kansas City Royals,2
Kansas City Royals,Houston Astros,1
Kansas City Royals,Chicago White Sox,1
Atlanta Braves,Cleveland Indians,1
Pittsburgh Pirates,Toronto Blue Jays,2
Arizona Diamondbacks,Pittsburgh Pirates,1
Texas Rangers,Tampa Bay Rays,1
Cincinnati Reds,Atlanta Braves,2
Atlanta Braves,Cincinnati Reds,2
Chicago White Sox,Atlanta Braves,1
San Francisco Giants,New York Yankees,1
New York Yankees,San Francisco Giants,1
Pittsburgh Pirates,San Diego Padres,1
Cincinnati Reds,Chicago White Sox,1
Kansas City Royals,Detroit Tigers,1
Boston Red Sox,Chicago Cubs,2
Baltimore Orioles,Arizona Diamondbacks,2
Los Angeles Angels,San Diego Padres,2
San Diego Padres,Los Angeles Angels,1
Philadelphia Phillies,Boston Red Sox,1
Arizona Diamondbacks,Baltimore Orioles,2
Boston Red Sox,Pittsburgh Pirates,6
Philadelphia Phillies,Tampa Bay Rays,1
Cincinnati Reds,Chicago Cubs,1
Pittsburgh Pirates,Tampa Bay Rays,1
Atlanta Braves,Pittsburgh Pirates,2
