name,color,wins,images,ws
Atlanta Braves,#0E3386,96,http://i986.photobucket.com/albums/ae347/And1Renders/Baseball%20Renders/Team%20Logos/psd_1247504565.png,0
Miami Marlins,#C4953B87,62,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/MiamiMarlins.svg/201px-MiamiMarlins.svg.png,0
New York Mets,#CA1F2C,74,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/New_York_Mets.svg/1024px-New_York_Mets.svg.png,0
Philadelphia Phillies,#FFB40B,73,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Philadelphia_Phillies.svg/1099px-Philadelphia_Phillies.svg.png,0
Washington Nationals,#BA122B,86,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Washington_Nationals_logo.svg/500px-Washington_Nationals_logo.svg.png,0
Chicago Cubs,#C6011F,66,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Chicago_Cubs_Logo.svg/2000px-Chicago_Cubs_Logo.svg.png,0
Cincinnati Reds,#333366,90,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/2000px-Cincinnati_Reds_Logo.svg.png,0
Milwaukee Brewers,#004685,74,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Milwaukee_Brewers_Logo.svg/1280px-Milwaukee_Brewers_Logo.svg.png,0
Pittsburgh Pirates,#1C3465,94,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Pittsburgh_Pirates_MLB_Logo.svg/1280px-Pittsburgh_Pirates_MLB_Logo.svg.png,0
St. Louis Cardinals,#C41E3A,97,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/St._Louis_Cardinals_Logo.svg/1074px-St._Louis_Cardinals_Logo.svg.png,0
Arizona Diamondbacks,#D60D39,81,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Arizona_Diamondbacks_logo.svg/1280px-Arizona_Diamondbacks_logo.svg.png,0
Colorado Rockies,#005596,74,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Colorado_Rockies_logo.svg/1280px-Colorado_Rockies_logo.svg.png,0
Los Angeles Dodgers,#0482CC,92,https://upload.wikimedia.org/wikipedia/en/2/20/Los_Angeles_Dodgers_Logo.png,0
San Diego Padres,#1C3465,76,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/San_Diego_Padres_logo.svg/2000px-San_Diego_Padres_logo.svg.png,0
San Francisco Giants,#FB5B1F,76,https://upload.wikimedia.org/wikipedia/en/0/09/San_Francisco_Giants_logo_1994-1999.png,0
Baltimore Orioles,#F4632A,85,https://upload.wikimedia.org/wikipedia/en/c/cd/BaltimoreOriolescap.PNG,0
Boston Red Sox,#C60C30,97,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/ALE-BOS-Logo.svg/1024px-ALE-BOS-Logo.svg.png,1
New York Yankees,#1C2841,85,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/NewYorkYankees_PrimaryLogo.svg/922px-NewYorkYankees_PrimaryLogo.svg.png,0
Tampa Bay Rays,#79BDEE,92,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Tampa_Bay_Rays.svg/1024px-Tampa_Bay_Rays.svg.png,0
Toronto Blue Jays,#003DA5,74,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Toronto_Blue_Jays_logo.svg/1024px-Toronto_Blue_Jays_logo.svg.png,0
Chicago White Sox,#000000,63,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Chicago_White_Sox.svg/1000px-Chicago_White_Sox.svg.png,0
Cleveland Indians,#ED174C,92,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Cleveland_Indians_logo.svg/791px-Cleveland_Indians_logo.svg.png,0
Detroit Tigers,#10293F,93,https://upload.wikimedia.org/wikipedia/commons/b/b4/Detroit_Tigers_logo.png,0
Kansas City Royals,#15317E,86,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Kansas_City_Royals.svg/1024px-Kansas_City_Royals.svg.png,0
Minnesota Twins,#042462,66,http://vignette3.wikia.nocookie.net/majorleaguebaseball/images/d/d6/Twins_Logo.PNG/revision/20120518140150,0
Houston Astros,#072854,51,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Houston-Astros-Logo.svg/2000px-Houston-Astros-Logo.svg.png,-1
Los Angeles Angels,#CE1141,78,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Los_Angeles_Angels_of_Anaheim.svg/1000px-Los_Angeles_Angels_of_Anaheim.svg.png,0
Oakland Athletics,#00483A,96,http://vignette3.wikia.nocookie.net/logopedia/images/4/4f/Oakland_Athletics.png/revision/latest?cb=20100925024259,0
Seattle Mariners,#1C8B85,71,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Seattle_Mariners_logo.svg/1004px-Seattle_Mariners_logo.svg.png,0
Texas Rangers,#BD1021,91,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Texas_Rangers.svg/1024px-Texas_Rangers.svg.png,0
