From,To,data.count
Oakland Athletics,Miami Marlins,1
San Diego Padres,Tampa Bay Rays,8
Tampa Bay Rays,San Diego Padres,6
New York Yankees,San Francisco Giants,1
Seattle Mariners,Kansas City Royals,1
Tampa Bay Rays,Washington Nationals,3
Washington Nationals,Tampa Bay Rays,3
Chicago White Sox,Oakland Athletics,7
Los Angeles Dodgers,Cleveland Indians,2
Chicago White Sox,Atlanta Braves,1
Kansas City Royals,Washington Nationals,1
Washington Nationals,Philadelphia Phillies,1
Chicago White Sox,Arizona Diamondbacks,2
Chicago Cubs,Los Angeles Angels,2
Los Angeles Angels,Chicago Cubs,1
Detroit Tigers,Los Angeles Angels,1
Los Angeles Angels,Detroit Tigers,1
Detroit Tigers,Baltimore Orioles,1
Baltimore Orioles,Detroit Tigers,1
Minnesota Twins,Pittsburgh Pirates,1
Kansas City Royals,San Diego Padres,2
Arizona Diamondbacks,Pittsburgh Pirates,1
Tampa Bay Rays,Philadelphia Phillies,1
Chicago White Sox,Washington Nationals,1
Cleveland Indians,Los Angeles Dodgers,1
Minnesota Twins,New York Yankees,1
Cleveland Indians,Baltimore Orioles,2
Baltimore Orioles,Cleveland Indians,1
New York Yankees,Minnesota Twins,1
Kansas City Royals,Chicago White Sox,1
Seattle Mariners,Texas Rangers,1
New York Mets,Oakland Athletics,1
New York Mets,Pittsburgh Pirates,1
Pittsburgh Pirates,New York Mets,2
Atlanta Braves,San Diego Padres,3
San Diego Padres,Texas Rangers,1
Houston Astros,Arizona Diamondbacks,2
San Diego Padres,Oakland Athletics,3
Oakland Athletics,San Diego Padres,3
Houston Astros,Toronto Blue Jays,2
San Diego Padres,Baltimore Orioles,1
Baltimore Orioles,San Diego Padres,1
Kansas City Royals,Toronto Blue Jays,4
Baltimore Orioles,Los Angeles Dodgers,1
Pittsburgh Pirates,Miami Marlins,1
Kansas City Royals,Oakland Athletics,1
San Francisco Giants,New York Yankees,1
Seattle Mariners,Detroit Tigers,1
Toronto Blue Jays,Houston Astros,2
Toronto Blue Jays,Chicago White Sox,1
Vaqueros de la Laguna,Philadelphia Phillies,1
Oakland Athletics,Chicago White Sox,4
Milwaukee Brewers,Oakland Athletics,1
Sultanes de Monterrey,Toronto Blue Jays,1
Kansas City Royals,Atlanta Braves,1
Pittsburgh Pirates,Los Angeles Angels,1
Los Angeles Angels,Pittsburgh Pirates,1
Kansas City Royals,Miami Marlins,2
Boston Red Sox,Los Angeles Angels,1
Washington Nationals,Los Angeles Dodgers,1
Colorado Rockies,Cincinnati Reds,1
Cincinnati Reds,Colorado Rockies,1
Arizona Diamondbacks,Los Angeles Angels,2
Los Angeles Angels,Arizona Diamondbacks,2
Oakland Athletics,Chicago Cubs,3
Chicago Cubs,Oakland Athletics,2
Arizona Diamondbacks,New York Yankees,3
New York Yankees,Arizona Diamondbacks,2
Arizona Diamondbacks,Houston Astros,1
Pittsburgh Pirates,Cleveland Indians,1
Chicago White Sox,Houston Astros,1
Oakland Athletics,New York Yankees,1
Los Angeles Angels,Cleveland Indians,3
Baltimore Orioles,Toronto Blue Jays,1
Kansas City Royals,Texas Rangers,1
Texas Rangers,Kansas City Royals,1
Kansas City Royals,Boston Red Sox,1
